PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
92017	-15	com.apple.Finder
65207	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	com.apple.PackageKit.InstallStatus
-	0	com.apple.mediaremoteagent
-	0	com.apple.FontWorker
449	0	com.apple.bird
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
-	0	com.apple.universalaccessAuthWarn
461	0	com.apple.nsurlsessiond
524	0	com.jetbrains.toolbox.activator
4421	0	com.apple.xpc.launchd.oneshot.0x10000060.Dropbox
-	0	com.apple.syncservices.uihandler
50622	-44	com.apple.iconservices.iconservicesagent
57371	-44	com.apple.ContactsAgent
-	-44	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.ManagedClientAgent.agent
43594	0	com.apple.ScreenSharing.26544
-	0	com.apple.screensharing.agent
543	0	com.apple.commerce
-	0	com.apple.TMHelperAgent.SetupOffer
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
45664	0	com.github.atom.30856
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
607	0	com.apple.photolibraryd
-	0	com.docker.helper
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
64115	0	com.kapeli.dashdoc.30860
-	0	com.apple.bluetoothUIServer
-	0	com.apple.universalaccessHUD
54128	-44	com.apple.assistant_service
584	0	com.adobe.acc.AdobeDesktopService.27132.CC890B49-3EF7-4A66-A5FD-E7022A0F52F0
-	0	com.apple.touristd
-	0	com.apple.MRTa
442	0	com.apple.CommCenter
448	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.mdworker.single.02000000-0000-0000-0000-000000000000
61021	0	com.apple.mdworker.shared.04000000-0000-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3425AMD_i386
-	0	com.apple.cvmsCompAgent3425AMD_i386_1
414	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.java.InstallOnDemand
84504	-44	com.apple.keyboardservicesd
-	0	com.flexibits.fantastical2.mac.launcher
92033	-44	com.apple.quicklook.ThumbnailsAgent
-	0	com.apple.csuseragent
-	0	com.apple.CoreRAIDAgent
-	0	com.apple.AOSPushRelay
517	0	com.apple.SocialPushAgent
96568	-10	com.paloaltonetworks.gp.pangps
-	-44	com.apple.xpc.loginitemregisterd
749	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
45280	0	2BUA8C4S2C.com.agilebits.onepassword4-helper
492	0	com.apple.AddressBook.ContactsAccountsService
-	0	com.apple.warmd_agent
-	0	com.apple.PubSub.Agent
-	0	com.apple.pictd
528	0	com.junecloud.mac.Deliveries.Updater
-	0	com.apple.universalaccesscontrol
-	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
644	0	com.adobe.CCXProcess.3636
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.lateragent
-	0	com.apple.systemprofiler
-	0	com.adobe.AdobeCreativeCloud
459	0	com.apple.cloudd
538	0	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
64007	-44	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
539	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
9548	0	com.apple.LocalAuthentication.UIAgent
-	0	com.apple.PhotoLibraryMigrationUtility.XPC
-	-44	com.apple.apfsuseragent
87324	-44	com.apple.networkserviceproxy
1078	0	com.openssh.ssh-agent
53959	-44	com.apple.tonelibraryd
-	-44	com.apple.CloudPhotosConfiguration
-	0	com.apple.mdworker.bundles
-	-44	com.apple.ctkd
-	0	com.apple.mdworker.single.05000000-0000-0000-0000-000000000000
-	0	com.apple.mdworker.lsb.02000000-0000-0000-0000-000000000000
-	-44	com.apple.sbd
-	0	com.apple.DownloadFolderImporter
493	0	com.apple.secinitd
-	0	com.apple.cvmsCompAgent3600_i386_1
-	0	com.apple.facebook.xpc
-	0	com.apple.cvmsCompAgentLegacy_i386
666	0	com.apple.contacts.donation-agent
-	0	com.microsoft.update.agent
616	0	com.apple.cloudphotosd
-	0	com.apple.ctkbind
-	0	com.apple.alf.useragent
455	0	com.apple.tccd
61408	0	com.apple.coreservices.uiagent
-	0	com.apple.AccessibilityVisualsAgent
522	0	com.apple.Siri.agent
-	0	com.apple.installd.user
-	0	com.apple.ContainerRepairAgent
498	0	com.apple.akd
-	-44	com.apple.CallHistoryPluginHelper
497	0	com.apple.storeaccountd
-	-44	com.apple.security.keychainsyncingoveridsproxy
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
-	0	com.apple.mbfloagent
-	0	com.apple.IMLoggingAgent
-	-44	com.apple.printtool.agent
-	0	com.apple.quicklook.32bit
62106	0	com.googlecode.iterm2.26800
483	0	com.apple.nsurlstoraged
833	0	com.apple.askpermissiond
40398	0	com.apple.USBAgent
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
